state,name,wikipedia_url,official_url,pop2013,OCDID,census_geoid
Alaska,Matanuska-Susitna Borough,"https://en.wikipedia.org/wiki/Matanuska-Susitna_Borough,_Alaska",http://www.matsugov.us,"95,192",ocd-division/country:us/state:ak/borough:matanuska-susitna,02170
Alaska,North Slope Borough,"https://en.wikipedia.org/wiki/North_Slope_Borough,_Alaska",http://www.north-slope.org,"9,686",ocd-division/country:us/state:ak/borough:north_slope,02185
Alaska,Northwest Arctic Borough,"https://en.wikipedia.org/wiki/Northwest_Arctic_Borough,_Alaska",http://www.nwabor.org,"7,685",ocd-division/country:us/state:ak/borough:northwest_arctic,02188
Alaska,"Sitka, City and Borough of","https://en.wikipedia.org/wiki/Sitka,_Alaska",http://www.cityofsitka.com,"9,020",ocd-division/country:us/state:ak/borough:sitka,02220
Alaska,"Skagway, Municipality of","https://en.wikipedia.org/wiki/Skagway,_Alaska",,995,ocd-division/country:us/state:ak/borough:skagway,02230
Alaska,"Wrangell, City and Borough of","https://en.wikipedia.org/wiki/Wrangell,_Alaska",http://www.wrangell.com,"2,400",ocd-division/country:us/state:ak/borough:wrangell,02275
Alaska,"Yakutat, City and Borough of","https://en.wikipedia.org/wiki/Yakutat,_Alaska",http://yakutatak.govoffice2.com,642,ocd-division/country:us/state:ak/borough:yakutat,02282
Alaska,Aleutians West Census Area,"https://en.wikipedia.org/wiki/Aleutians_West_Census_Area,_Alaska",,"5,511",ocd-division/country:us/state:ak/census_area:aleutians_west,02016
Alaska,Bethel Census Area,"https://en.wikipedia.org/wiki/Bethel_Census_Area,_Alaska",,"17,758",ocd-division/country:us/state:ak/census_area:bethel,02050
Alaska,Dillingham Census Area,"https://en.wikipedia.org/wiki/Dillingham_Census_Area,_Alaska",,"5,010",ocd-division/country:us/state:ak/census_area:dillingham,02070
Alaska,Hoonah–Angoon Census Area,"https://en.wikipedia.org/wiki/Hoonah%E2%80%93Angoon_Census_Area,_Alaska",,"2,145",ocd-division/country:us/state:ak/census_area:hoonah-angoon,02105
Alaska,Nome Census Area,"https://en.wikipedia.org/wiki/Nome_Census_Area,_Alaska",,"9,892",ocd-division/country:us/state:ak/census_area:nome,02180
Alaska,Petersburg Borough,"https://en.wikipedia.org/wiki/Petersburg_Borough,_Alaska",http://ci.petersburg.ak.us,"3,774",ocd-division/country:us/state:ak/census_area:petersburg,02195
Alaska,Prince of Wales – Hyder Census Area,"https://en.wikipedia.org/wiki/Prince_of_Wales_%E2%80%93_Hyder_Census_Area,_Alaska",,"5,786",ocd-division/country:us/state:ak/census_area:prince_of_wales-hyder,02198
Alaska,Southeast Fairbanks Census Area,"https://en.wikipedia.org/wiki/Southeast_Fairbanks_Census_Area,_Alaska",,"6,985",ocd-division/country:us/state:ak/census_area:southeast_fairbanks,02240
Alaska,Valdez–Cordova Census Area,"https://en.wikipedia.org/wiki/Valdez%E2%80%93Cordova_Census_Area,_Alaska",,"9,763",ocd-division/country:us/state:ak/census_area:valdez-cordova,02261
Alaska,Kusilvak Census Area,"https://en.wikipedia.org/wiki/Kusilvak_Census_Area,_Alaska",,"7,977",ocd-division/country:us/state:ak/census_area:kusilvak,02270
Alaska,Yukon–Koyukuk Census Area,"https://en.wikipedia.org/wiki/Yukon%E2%80%93Koyukuk_Census_Area,_Alaska",,"5,695",ocd-division/country:us/state:ak/census_area:yukon-koyukuk,02290
Arizona,Apache County,"https://en.wikipedia.org/wiki/Apache_County,_Arizona",http://www.co.apache.az.us,"71,934",ocd-division/country:us/state:az/county:apache,04001
Arizona,Cochise County,"https://en.wikipedia.org/wiki/Cochise_County,_Arizona",https://www.cochise.az.gov,"129,473",ocd-division/country:us/state:az/county:cochise,04003
Arizona,Coconino County,"https://en.wikipedia.org/wiki/Coconino_County,_Arizona",http://coconino.az.gov,"136,539",ocd-division/country:us/state:az/county:coconino,04005
Arizona,Gila County,"https://en.wikipedia.org/wiki/Gila_County,_Arizona",http://www.gilacountyaz.gov/,"53,053",ocd-division/country:us/state:az/county:gila,04007
Arizona,Graham County,"https://en.wikipedia.org/wiki/Graham_County,_Arizona",http://www.graham.az.gov,"37,482",ocd-division/country:us/state:az/county:graham,04009
Arizona,Greenlee County,"https://en.wikipedia.org/wiki/Greenlee_County,_Arizona",http://www.co.greenlee.az.us,"9,049",ocd-division/country:us/state:az/county:greenlee,04011
Arizona,La Paz County,"https://en.wikipedia.org/wiki/La_Paz_County,_Arizona",http://www.co.la-paz.az.us,"20,324",ocd-division/country:us/state:az/county:la_paz,04012
Arizona,Maricopa County,"https://en.wikipedia.org/wiki/Maricopa_County,_Arizona",http://www.maricopa.gov,"4,009,412",ocd-division/country:us/state:az/county:maricopa,04013
Arizona,Mohave County,"https://en.wikipedia.org/wiki/Mohave_County,_Arizona",http://www.mohavecounty.us,"203,030",ocd-division/country:us/state:az/county:mohave,04015
Arizona,Navajo County,"https://en.wikipedia.org/wiki/Navajo_County,_Arizona",http://www.navajocountyaz.gov/,"107,322",ocd-division/country:us/state:az/county:navajo,04017
Arizona,Pima County,"https://en.wikipedia.org/wiki/Pima_County,_Arizona",http://www.pima.gov,"996,554",ocd-division/country:us/state:az/county:pima,04019
Arizona,Pinal County,"https://en.wikipedia.org/wiki/Pinal_County,_Arizona",http://www.pinalcountyaz.gov,"389,350",ocd-division/country:us/state:az/county:pinal,04021
Arizona,Santa Cruz County,"https://en.wikipedia.org/wiki/Santa_Cruz_County,_Arizona",http://www.co.santa-cruz.az.us,"46,768",ocd-division/country:us/state:az/county:santa_cruz,04023
Arizona,Yavapai County,"https://en.wikipedia.org/wiki/Yavapai_County,_Arizona",http://www.co.yavapai.az.us,"215,133",ocd-division/country:us/state:az/county:yavapai,04025
Arizona,Yuma County,"https://en.wikipedia.org/wiki/Yuma_County,_Arizona",http://www.yumacountyaz.gov,"201,201",ocd-division/country:us/state:az/county:yuma,04027
Arkansas,Arkansas County,"https://en.wikipedia.org/wiki/Arkansas_County,_Arkansas",,"18,777",ocd-division/country:us/state:ar/county:arkansas,05001
Arkansas,Ashley County,"https://en.wikipedia.org/wiki/Ashley_County,_Arkansas",http://ashleycounty.arkansas.gov/,"21,283",ocd-division/country:us/state:ar/county:ashley,05003
Arkansas,Baxter County,"https://en.wikipedia.org/wiki/Baxter_County,_Arkansas",,"40,957",ocd-division/country:us/state:ar/county:baxter,05005
Arkansas,Benton County,"https://en.wikipedia.org/wiki/Benton_County,_Arkansas",http://www.bentoncountyar.gov,"237,297",ocd-division/country:us/state:ar/county:benton,05007
Arkansas,Boone County,"https://en.wikipedia.org/wiki/Boone_County,_Arkansas",http://www.boonecountyar.com/,"37,396",ocd-division/country:us/state:ar/county:boone,05009
Arkansas,Bradley County,"https://en.wikipedia.org/wiki/Bradley_County,_Arkansas",http://www.bradleycountyarkansas.com,"11,249",ocd-division/country:us/state:ar/county:bradley,05011
Arkansas,Calhoun County,"https://en.wikipedia.org/wiki/Calhoun_County,_Arkansas",,"5,241",ocd-division/country:us/state:ar/county:calhoun,05013
